Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
LBR,-2.486469874,1.443541969,-6.934970197,2.07E-07,1.87E-05,7.184972554,-0.660394078,1.826075796
ANXA4,-1.451916199,4.514472642,-6.926578032,2.11E-07,1.89E-05,7.164503743,3.285928166,4.737844365
SLC34A2,-3.116823337,4.479494573,-6.926990982,2.11E-07,1.89E-05,7.165511147,1.842182519,4.959005855
PIR,1.855471698,2.392392105,6.919805389,2.15E-07,1.90E-05,7.147978713,3.962406619,2.106934921
MORF4L1,-0.876057854,6.92615002,-6.920476948,2.15E-07,1.90E-05,7.149617548,6.184870297,7.060928151
TRMT6,1.51877213,0.798213555,6.905520589,2.23E-07,1.96E-05,7.113105866,2.083328435,0.564556305
TMEM184C,-0.891083983,3.205930355,-6.895248823,2.29E-07,2.00E-05,7.08801447,2.451936215,3.343020198
ATL2,-1.920405438,2.455804584,-6.883567443,2.36E-07,2.04E-05,7.059464135,0.830846136,2.751251574
SNX19,-0.757451394,3.111360269,-6.867391447,2.45E-07,2.11E-05,7.01990123,2.470439859,3.227891253
COMMD3-BMI1,-2.405855911,5.463441261,-6.866433871,2.46E-07,2.11E-05,7.01755822,3.427717029,5.83357294
ARFRP1,0.75013985,4.197010918,6.857176083,2.52E-07,2.14E-05,6.994900414,4.831744637,4.081604787
ADAM10,-2.115636315,2.268793791,-6.857811814,2.51E-07,2.14E-05,6.996456654,0.478639986,2.594276301
SLC35A5,-0.923992089,3.73322372,-6.847886689,2.58E-07,2.17E-05,6.972154872,2.95138426,3.875376349
RAB29,-1.996597824,1.615043562,-6.847401313,2.58E-07,2.17E-05,6.970966119,-0.074385366,1.922212458
USP7,-2.330970268,3.047120983,-6.84538897,2.59E-07,2.17E-05,6.966037312,1.074761525,3.405731794
BCKDHA,2.029193157,3.266862207,6.825428107,2.73E-07,2.24E-05,6.917121095,4.983871802,2.954678645
ATRX,-1.335502407,1.341335982,-6.825531099,2.73E-07,2.24E-05,6.91737361,0.211295485,1.546797891
MFAP3,-1.579930639,2.711700707,-6.828839363,2.70E-07,2.24E-05,6.925484122,1.374836321,2.954766959
STK3,1.123671452,0.423203232,6.820358924,2.76E-07,2.25E-05,6.904690929,1.374002153,0.250330701
SMAD4,-1.028926395,2.803900188,-6.822879376,2.75E-07,2.25E-05,6.910871724,1.933270161,2.962196556
WDR41,-1.07869408,2.963727261,-6.813477367,2.81E-07,2.28E-05,6.887811724,2.050986116,3.129680196
VAPA,-1.027725696,5.256070984,-6.801787085,2.90E-07,2.31E-05,6.859124659,4.386456933,5.414182629
PEX2,-1.450573915,4.899695418,-6.804669595,2.87E-07,2.31E-05,6.866199631,3.67228672,5.122860635
RB1,-2.219079291,2.287127515,-6.806213929,2.86E-07,2.31E-05,6.86998971,0.409445038,2.628524329
G3BP2,-1.193702012,4.14603863,-6.788676945,2.99E-07,2.38E-05,6.826934058,3.135983081,4.329685093
KCNMB3,1.13942956,0.356579433,6.780764366,3.05E-07,2.41E-05,6.807495683,1.320712137,0.181282577
HAUS7,0.959286173,3.999654004,6.776558193,3.09E-07,2.42E-05,6.79715961,4.811357689,3.852071515
RER1,-1.886405897,4.939837504,-6.774864141,3.10E-07,2.42E-05,6.792996128,3.343647898,5.230053796
HNRNPK,-1.018989291,7.100765967,-6.76620778,3.17E-07,2.47E-05,6.771716054,6.238544259,7.25753355
GOPC,-1.680720157,2.68888594,-6.762766281,3.20E-07,2.48E-05,6.763253311,1.266738115,2.947458272
GMPR2,-0.727893342,5.810566405,-6.751838954,3.29E-07,2.53E-05,6.736373482,5.194656654,5.922549996
TCHP,1.439804286,1.095750657,6.743645522,3.35E-07,2.56E-05,6.716209503,2.314046591,0.874242305
CSNK1G1,1.15949357,0.225451609,6.743643731,3.35E-07,2.56E-05,6.716205093,1.206561553,0.047067983
IWS1,1.579134299,1.962344323,6.723155812,3.53E-07,2.63E-05,6.665750158,3.298534884,1.719400585
