Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
RASGRP1,-1.157168579,6.934564532,-12.76469709,1.90E-24,1.12E-22,45.01990767,6.130481557,7.28178218
STAU2,0.422546744,4.540202568,12.76180092,1.93E-24,1.14E-22,45.003868,4.832303218,4.414068197
TRAF1,-1.024595505,6.0140634,-12.75318879,2.03E-24,1.18E-22,44.95616888,5.303266904,6.32099825
RPS16,-1.063105825,8.05884385,-12.75366296,2.02E-24,1.18E-22,44.95879523,7.315478929,8.379842339
SMAD3,-0.837342064,5.77190176,-12.74423319,2.13E-24,1.24E-22,44.90656261,5.190693703,6.022877966
LRRC57,0.560283835,4.170612278,12.73834722,2.20E-24,1.27E-22,44.87395679,4.557387929,4.00359552
FAM160B1,0.656618305,6.641549245,12.72246902,2.41E-24,1.39E-22,44.78598765,7.099747835,6.443690762
ARHGAP24,1.107857084,4.318790959,12.71875598,2.46E-24,1.40E-22,44.76541429,5.089219412,3.986105945
MKNK1,0.832327909,6.712822199,12.7183042,2.47E-24,1.40E-22,44.76291098,7.292927907,6.462322007
ARF6,-0.554387973,7.591043293,-12.71939466,2.45E-24,1.40E-22,44.76895315,7.202555509,7.758799381
M6PR,-0.634539424,6.85820344,-12.71635882,2.49E-24,1.41E-22,44.75213155,6.412979616,7.050459181
JDP2,1.161220966,5.341066771,12.70583867,2.64E-24,1.48E-22,44.69383502,6.151350143,4.991171679
ACVR1B,0.770802729,5.084874676,12.70639854,2.64E-24,1.48E-22,44.6969377,5.621952347,4.852954773
