Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
PODXL,-0.061504574,0.167586885,-1.544986482,0.124921584,0.435514791,-5.269450269,0.125239474,0.186744048
CTRC,-0.263843421,0.549094262,-1.546266753,0.124612271,0.435514791,-5.267544154,0.367431579,0.631275
NCAM1,0.123756015,0.356004098,1.53986854,0.126164137,0.435514791,-5.277054896,0.441213158,0.317457143
TNFRSF21,-0.11555401,0.420269672,-1.537121275,0.126835135,0.435514791,-5.281126988,0.340707895,0.456261905
MITD1,-0.347643922,3.436787705,-1.534895146,0.12738091,0.436331578,-5.284421506,3.197426316,3.545070238
LGALS3BP,-0.151751566,0.069405738,-1.532755586,0.127907202,0.437115426,-5.287583583,-0.035078947,0.116672619
LTBP3,-0.186076942,0.820360656,-1.533178752,0.127802975,0.437115426,-5.286958518,0.692242105,0.878319048
TRAF3IP2,0.219708897,0.268943443,1.531987243,0.128096617,0.437254306,-5.288718088,0.420218421,0.200509524
HDAC9,-0.296305138,0.159484426,-1.529513079,0.128708059,0.43851076,-5.292367631,-0.044528947,0.25177619
TAFA5,-0.153469737,1.030472951,-1.529290766,0.128763112,0.43851076,-5.292695278,0.924805263,1.078275
THRAP3,-0.388257769,1.203993443,-1.528095945,0.129059309,0.439010775,-5.294455433,0.936668421,1.32492619
ITPRIP,-0.100301316,0.201383607,-1.525702616,0.129654229,0.439104282,-5.297977197,0.132323684,0.232625
CD101,0.192325063,0.505292623,1.526665464,0.129414631,0.439104282,-5.296561013,0.637713158,0.445388095
DCBLD2,0.14521391,0.970887705,1.527185066,0.129285477,0.439104282,-5.29579641,1.070871053,0.925657143
EHD3,-0.377798058,3.907481148,-1.525581382,0.129684422,0.439104282,-5.29815545,3.647357895,4.025155952
SDK2,-0.122798308,0.287854918,-1.523434909,0.13021991,0.440410028,-5.30130921,0.203305263,0.326103571
ADGRD1,0.14404104,0.585592623,1.521778115,0.130634422,0.440797435,-5.303740574,0.684768421,0.540727381
FABP3,0.22931015,0.955995902,1.522131676,0.130545878,0.440797435,-5.303221934,1.113881579,0.884571429
LPCAT2,0.470889411,1.751157377,1.520311539,0.131002207,0.441531523,-5.30589067,2.075376316,1.604486905
BRD1,0.162427945,0.357882787,1.518503081,0.131456848,0.441544773,-5.308539239,0.469718421,0.307290476
RAC3,-0.23248609,0.212693443,-1.51863037,0.131424808,0.441544773,-5.308352917,0.052621053,0.285107143
SDHB,0.319394612,0.751657377,1.518788551,0.131384999,0.441544773,-5.308121355,0.971568421,0.65217381
ST6GAL1,-0.137314599,0.568828689,-1.517792588,0.131635802,0.441641122,-5.309578957,0.474284211,0.61159881
